ID,Author,Comment
1,@J.L.Torrente,Mi reconocimiento a Richard Galeano y equipo De HLQP por darle voz y  públicamente que denuncie la  víctima que destapó  la olla
2,@gonzalomauttones5093,"Lamentable que un Político use el Poder para cometer estos delitos aberrantes, y también Lamentable que el Presidente del país y parte del gobierno salgan apoyar a Penades. Y esta gente está cargo de un país y nos gobierna y decide sobre nosotros"
3,@ilianaiglesias8931,VERGONZOSO todos los delitos y peor aún el respaldo del Min .del Interior dentro del Parlamento y del mismísimo Presidente.LO APAÑÓ LA MÁXIMA INSTITUCIONALIDAD DE UN PAÍS.
4,@J.L.Torrente,La ley de  hermandad que existe para mantener el poder es absolutamente repudiable
5,@gemaborche9580,En un país normal todo el gobierno debería renunciar y muchos de ellos directo al Comcar.
6,@Marcelo-garcia2011,"Increíble, sólo en este país suceden estas cosas. Es todo muy grave y sin embargo todos seguimos callados...hasta cuándo?  (dijera nuestro amigo)"
7,@blancaroda1618,La prisión preventiva esta bien ..aun falta el juicio oral que puede durar un largo tiempo!!destaco la actualización de la fiscal que no dejó nada al azar y le ató las manos a los amigos del senador que planeaban una trama de mentiras y amenazas contra las victimas
8,@jorgegallo6460,"En un pais normal el ministro hace rato que habia volado. Pero nosotros como pais, de normal, cada vez tenemos menos."
9,@gustavollanes3528,"La justicia, exsiste, el fiscal incorruptible "
10,@nestorbustamante3461,Felicitaciones a esa valiente fiscal q laburo muchas horas y no cedió a las tremendas presiones del poder Todo era defender al AMIGO q los miraba a los ojos y hacia conferencia prensa en el parlamento.... ambos deben terminar PRESOS PRESOOOOS
11,@lauraramilo4568,Cero vergüenza; corruptos hasta las manos. Felicitaciones a la gente de Galeano que le dio voz a Papaso.
12,@ReinosaDario,Es un alivio.  Ya estábamos en el límite de la credibilidad en la justicia.  Quedan jueces y fiscales honestos y valientes.  Creí que se habían extinguido.
13,@MrsMicro84,Madrugó el señor Z! Me da cierto reconfort y sensación de justicia que el delincuente de Penades vaya preso
14,@gustavomolinamendez2212,Mira que lo hacen trabajar al Sr. Zeta. No le dan descanso.
15,@elrincondelderecho,"El Presidente de la República y el ministro del Interior no están a la altura de la circunstancia, representan al Estado, no a sus amigos."
16,@carlosalvarez7754,"Gracias zintv por refrescar la memoria reciente , que los medios nos tratan de borrar permanentemente."
17,@irmavazquez6035,la verdad que había perdido la fe en la justicia  pero esta fiscal tuvo ovarios para seguir contra todos
18,@user-ml6mo1df8k,Lo únicos que alguna vez tuvieron dudas de la veracidad de las denuncias fueron los “amigos” que peculiar….
19,@richardnoble6904,FELICITACIONES A TODAS LAS PERSONAS QUE ESTAN HACIENDO BIEN SU TRABAJO A PESAR DE LAS PRESIONES DEL GOBIERNO!!!
20,@mojo8656,"Pobre Luisito, otro amigo que resulta ser tremendo bandido"
21,@J.L.Torrente,Mi reconocimiento a Richard Galeano y equipo De HLQP por darle voz y  públicamente que denuncie la  víctima que destapó  la olla
22,@gonzalomauttones5093,"Lamentable que un Político use el Poder para cometer estos delitos aberrantes, y también Lamentable que el Presidente del país y parte del gobierno salgan apoyar a Penades. Y esta gente está cargo de un país y nos gobierna y decide sobre nosotros"
23,@ilianaiglesias8931,VERGONZOSO todos los delitos y peor aún el respaldo del Min .del Interior dentro del Parlamento y del mismísimo Presidente.LO APAÑÓ LA MÁXIMA INSTITUCIONALIDAD DE UN PAÍS.
24,@J.L.Torrente,La ley de  hermandad que existe para mantener el poder es absolutamente repudiable
25,@gemaborche9580,En un país normal todo el gobierno debería renunciar y muchos de ellos directo al Comcar.
26,@Marcelo-garcia2011,"Increíble, sólo en este país suceden estas cosas. Es todo muy grave y sin embargo todos seguimos callados...hasta cuándo?  (dijera nuestro amigo)"
27,@blancaroda1618,La prisión preventiva esta bien ..aun falta el juicio oral que puede durar un largo tiempo!!destaco la actualización de la fiscal que no dejó nada al azar y le ató las manos a los amigos del senador que planeaban una trama de mentiras y amenazas contra las victimas
28,@jorgegallo6460,"En un pais normal el ministro hace rato que habia volado. Pero nosotros como pais, de normal, cada vez tenemos menos."
29,@gustavollanes3528,"La justicia, exsiste, el fiscal incorruptible "
30,@nestorbustamante3461,Felicitaciones a esa valiente fiscal q laburo muchas horas y no cedió a las tremendas presiones del poder Todo era defender al AMIGO q los miraba a los ojos y hacia conferencia prensa en el parlamento.... ambos deben terminar PRESOS PRESOOOOS
31,@lauraramilo4568,Cero vergüenza; corruptos hasta las manos. Felicitaciones a la gente de Galeano que le dio voz a Papaso.
32,@ReinosaDario,Es un alivio.  Ya estábamos en el límite de la credibilidad en la justicia.  Quedan jueces y fiscales honestos y valientes.  Creí que se habían extinguido.
33,@MrsMicro84,Madrugó el señor Z! Me da cierto reconfort y sensación de justicia que el delincuente de Penades vaya preso
34,@gustavomolinamendez2212,Mira que lo hacen trabajar al Sr. Zeta. No le dan descanso.
35,@elrincondelderecho,"El Presidente de la República y el ministro del Interior no están a la altura de la circunstancia, representan al Estado, no a sus amigos."
36,@carlosalvarez7754,"Gracias zintv por refrescar la memoria reciente , que los medios nos tratan de borrar permanentemente."
37,@irmavazquez6035,la verdad que había perdido la fe en la justicia  pero esta fiscal tuvo ovarios para seguir contra todos
38,@user-ml6mo1df8k,Lo únicos que alguna vez tuvieron dudas de la veracidad de las denuncias fueron los “amigos” que peculiar….
39,@richardnoble6904,FELICITACIONES A TODAS LAS PERSONAS QUE ESTAN HACIENDO BIEN SU TRABAJO A PESAR DE LAS PRESIONES DEL GOBIERNO!!!
40,@mojo8656,"Pobre Luisito, otro amigo que resulta ser tremendo bandido"
41,@J.L.Torrente,Mi reconocimiento a Richard Galeano y equipo De HLQP por darle voz y  públicamente que denuncie la  víctima que destapó  la olla
42,@gonzalomauttones5093,"Lamentable que un Político use el Poder para cometer estos delitos aberrantes, y también Lamentable que el Presidente del país y parte del gobierno salgan apoyar a Penades. Y esta gente está cargo de un país y nos gobierna y decide sobre nosotros"
43,@ilianaiglesias8931,VERGONZOSO todos los delitos y peor aún el respaldo del Min .del Interior dentro del Parlamento y del mismísimo Presidente.LO APAÑÓ LA MÁXIMA INSTITUCIONALIDAD DE UN PAÍS.
44,@J.L.Torrente,La ley de  hermandad que existe para mantener el poder es absolutamente repudiable
45,@gemaborche9580,En un país normal todo el gobierno debería renunciar y muchos de ellos directo al Comcar.
46,@Marcelo-garcia2011,"Increíble, sólo en este país suceden estas cosas. Es todo muy grave y sin embargo todos seguimos callados...hasta cuándo?  (dijera nuestro amigo)"
47,@blancaroda1618,La prisión preventiva esta bien ..aun falta el juicio oral que puede durar un largo tiempo!!destaco la actualización de la fiscal que no dejó nada al azar y le ató las manos a los amigos del senador que planeaban una trama de mentiras y amenazas contra las victimas
48,@jorgegallo6460,"En un pais normal el ministro hace rato que habia volado. Pero nosotros como pais, de normal, cada vez tenemos menos."
49,@gustavollanes3528,"La justicia, exsiste, el fiscal incorruptible "
50,@nestorbustamante3461,Felicitaciones a esa valiente fiscal q laburo muchas horas y no cedió a las tremendas presiones del poder Todo era defender al AMIGO q los miraba a los ojos y hacia conferencia prensa en el parlamento.... ambos deben terminar PRESOS PRESOOOOS
51,@lauraramilo4568,Cero vergüenza; corruptos hasta las manos. Felicitaciones a la gente de Galeano que le dio voz a Papaso.
52,@ReinosaDario,Es un alivio.  Ya estábamos en el límite de la credibilidad en la justicia.  Quedan jueces y fiscales honestos y valientes.  Creí que se habían extinguido.
53,@MrsMicro84,Madrugó el señor Z! Me da cierto reconfort y sensación de justicia que el delincuente de Penades vaya preso
54,@gustavomolinamendez2212,Mira que lo hacen trabajar al Sr. Zeta. No le dan descanso.
55,@elrincondelderecho,"El Presidente de la República y el ministro del Interior no están a la altura de la circunstancia, representan al Estado, no a sus amigos."
56,@carlosalvarez7754,"Gracias zintv por refrescar la memoria reciente , que los medios nos tratan de borrar permanentemente."
57,@irmavazquez6035,la verdad que había perdido la fe en la justicia  pero esta fiscal tuvo ovarios para seguir contra todos
58,@user-ml6mo1df8k,Lo únicos que alguna vez tuvieron dudas de la veracidad de las denuncias fueron los “amigos” que peculiar….
59,@richardnoble6904,FELICITACIONES A TODAS LAS PERSONAS QUE ESTAN HACIENDO BIEN SU TRABAJO A PESAR DE LAS PRESIONES DEL GOBIERNO!!!
60,@mojo8656,"Pobre Luisito, otro amigo que resulta ser tremendo bandido"
61,@J.L.Torrente,Mi reconocimiento a Richard Galeano y equipo De HLQP por darle voz y  públicamente que denuncie la  víctima que destapó  la olla
62,@gonzalomauttones5093,"Lamentable que un Político use el Poder para cometer estos delitos aberrantes, y también Lamentable que el Presidente del país y parte del gobierno salgan apoyar a Penades. Y esta gente está cargo de un país y nos gobierna y decide sobre nosotros"
